Time		Annotation	Layer
0:00	0:47	Introduction	Introducer
0:03	0:17	She has published ten volumes of poetry, which include such books as The Green Wave, The Turning Wind, Beast and View, U.S. 1, Theory of Flight, Body of Waking, Waterlily Fire, and The speed of darkness, amongst others.	Introducer
0:17	0:37	She has published essays, a biography-- she's working on a biography now. She has published a novel called The Orgy. She has published translations of the Mexican Writer Octavio Paz, and the Swedish poet Gunnar Ekelof. She has published a number of children's books. And, what else can I say?	Introducer
0:38	0:47	She is a New Yorker. She was born in New York, she lives in New York, and so forth. I now introduce Muriel Rukeyser.	Introducer
0:47	0:54	Audience applauding	Audience
0:56	1:17	Thank you. It sounds peculiar when it's said that way, you know. It just means that I've been writing poems all along, and that sometimes there's been some prose or something--film, prose, whatever it is--	Rukeyser speaking
1:21	1:43	And they lie all the time about the poems, to us, you know, about all of our poems. They say it's something very odd and rare, and people who do it are very odd. If a man does it, he's sexually questionable; if a woman does it, she's sexually questionable	Rukeyser speaking
1:43		Audience laughter	Audience
1:45	1:50	Besides, very few people do it. And it's all lies, you know.	Rukeyser speaking
1:52	2:28	There's a company in the United States that's made a fortune on the premise that everybody takes a snapshot at some time or other. And I would like to ask you--and this is apart from all critical standards, all criteria, all faculty and institutions, apart from any of that--I would like to ask a question: how many of you here has ever written a poem, would you put up your hands please?	Rukeyser speaking
2:28		Audience laughter	Audience
2:31		Thank you.	Rukeyser speaking
2:34	3:19	I'm always nervous before I ask the question. I ask the question, now, in all rooms, no matter how few or many people there are, and if the universities would generally look around to see if the basketball team is there, but there's always the moment of silence, and looking around first. And then, generally, quite slowly, almost all the hands go up. Maybe four or five do not put up their hands. And if I wait around afterwards, and with any luck and favorable wins, the four or five people come up to me and will say something like: I was fifteen, it was a love poem, it stank.	Rukeyser speaking
3:19	3:23	Audience laughter	Audience
3:23	3:58	The thing is, it's a human activity; we all do it. We lie about it, you know, and they lie about it to us. And, thanks now to the young, the poets, maybe, a few other people one could name together, maybe we don't lie so much-- so much as we used to. Maybe we don't lie about this anymore.	Rukeyser speaking
3:58		Maybe we don't lie about sex, maybe we don't lie about poetry. They seem to lie a great deal about politics instead. It seems to shift around.	Rukeyser speaking
4:05		Audience laughter	Audience
4:07	4:30	But, there are these, and the fact is: we all write poems. It is something we do. We come to this part of experience: You get a very, very rainy evening; why do poeple come and listen to poems? Or you've got some marvelous summer night; why do people come and listen to poems?	Rukeyser speaking
4:30	5:24	It's partly out of curiosity and looking at the person and I go to see: What is that breathing behind, what is that heartbeat, the breathing goes against the heartbeat and these rhythms are set up, and the involuntary muscles and you see the person do it but beyond that, something is what we called shared--something is arrived at--we come to something with almost unmediated that is the poem among us, between us, there, we're reaching each other, you're giving me whatever silence you are giving me and it comes to me with great strength, your silence.	Rukeyser speaking
5:26		Somebody said "primadona," you know, or I'm going give this to the audience and the conductor cause that's what you think--you're going to get it from the audience.	Rukeyser speaking
5:38		That's where it comes from, in a funny way.	Rukeyser speaking
5:47	6:14	So, this mediation, it is not a description, it is not only the music and it, although certainly the reinforcement of sound-- the sound climbing up and finally reaching a place, the last word; the sound that begins with the first breathing, the breath of the title.	Rukeyser speaking
6:16	6:50	Keats' doing "Ode to a Nightingale." We hardly ever say "ode." Nobody says "nightingale." But Keats, having said that, never has to say it again. It's a bird. You find it in these things. But, from the beginning--from the first moment--that is, the first breath, the thing that is made as, suggestion, breath, what my life has been, whatever that is- what your lives have been. This is a very short one called "Song."	Rukeyser speaking
6:55	7:34	Reads "Song"	Rukeyser reading
7:37		This is another very short one. I wanted to start with these and see what happened. I call it "In Our Time." It's very- it's four lines.	Rukeyser Speaking
7:55		Reads "In Our Time"	Rukeyser reading
8:11		Audience chuckles	Audience
8:15	9:25	This is called "The Poem As Mask." It's for another poem--a big Orpheus poem that I wrote a long time ago--and it had the acting out. The acting out the women on the mountain after the murder, the pieces of the man scattered about the top of the mountain, the slow coming together of the pieces as God. And I realized, long after, when I came to this newest book, "Speed of Darkness", that this was a mask--that I did not want any more of this. You know how it is. It happens to undergraduates. Say, it happens to the thing that was just before, and you see girls acting very childish, and trading on it, and thinking they're still thirteen and able to influence their father. And it's been used up, used up. It's served its purpose back there, but it isn't that anymore. And these, phases of being, "The Poem As Mask," Orpheus.	Rukeyser speaking
9:31		Reads "The Poem as Mask"	Rukeyser reading
10:56		Audience cough	Audience
10:58		Audience cough	Audience
11:06		Air	Rukeyser speaking
11:12	11:41	Reads "Air"	Rukeyser reading
11:46		Poem	Rukeyser speaking
11:51	13:54	Reads "Poem"	Rukeyser reading
14:03		Anemone	Rukeyser speaking
14:08	14:44	Reads "Anemone"	Rukeyser reading
14:49		For my son	Rukeyser speaking
14:55	17:16	Reads "For My Son"	Rukeyser reading
17:27		This is called "Orgy"	Rukeyser speaking
17:35	19:12	Reads "Orgy"	Rukeyser reading
19:17	19:45	This is called "Bunk Johnson Blowing." If you know the early jazz men--the New Orleans Jazz men--you'll know Bunk Johnson and his trumpet. This is years later in San Francisco. "Bunk Johnson Blowing" and the dedication is in memory of Lead Belly, and his house on 59th Street. That's New York.	Rukeyser speaking
19:49	21:17	Reads "Bunk Johnson Blowing"	Rukeyser reading
21:20		This is one called "Endless."	Rukeyser speaking
21:30	22:53	Reads "Endless"	Rukeyser reading
23:01	23:56	This last one of the first group is called "Clues." It's a Canadian, a British Columbia poem. It-is- how it is among the Thompson River Indians, or how it was in the anthropological moment. Imagine that flash of moment before it was broken up by this civilization, and we have caught up to some of this, without know what the hell it was, what this is. We are full of body painting, tattooing, emblems painted on ourselves, this is further. "Clues".	Rukeyser speaking
23:59	25:53	Reads "Clues"	Rukeyser reading
25:58	26:18	Here's one piece of a long poem. It's the last of a group called "Elegies," which one hardly dares name anything anymore. It's called "Elegy in Joy," and it's just a beginning piece. I wanted to do it tonight this way; I've never cut it up.	Rukeyser speaking
26:24	28:29	Reads "Elegies in Joy"	Rukeyser reading
28:30	29:56	I thought of that very much at the beginning of this month in Mexico, and yesterday when I heard a story. It's a story of what happened at Christmas time. I was in Mexico--I wonder whether you saw it--I heard of it yesterday in New York as a little three line story in the back page of the New York Times, saying that the largest underground bomb-test was about to be held in Nevada--in the States--and to that test, the day before, came five scientist, in Utah--in the States--to protest, to picket, to try to stop it. And another person who protested, was Howard Hughes, who owns most of Las Vegas at this point, and had his own reasons for protesting. These protests did not stop the testing. The test was made. It was the largest underground made yet. Do you know this story? There was a crack, a crack in the earth, big enough, they said, the way we talk, big enough for the Empire State Building.	Rukeyser speaking
29:31		Audience laughter	Audience
29:56	30:52	There's a crack there, and deep under the crust there's a three foot crack of some kind, and the rocks are still falling, and they say there will be earthquakes in various parts, unpredictable parts of the world as a result of the shift of the under-crust. Now last night, before I came here, on TV, late news in New York, they said that there'd been a quake in the Fiji Islands. I have no idea what the relations between these things are,=. I give it to you simply; that something has happened to shift the under-crust, there will be unpredictable results. This is under the ground. The way we are bound to each other, we are all so bound to each other through the air, and the fall out has come over Canada. This is also a part of the story that I heard yesterday, and you, I can see by your nods, you know this part of the story.	Rukeyser speaking
