Time		Annotation	Layer
0:01		Noises from the rooms: cracks, soft voices	Environment
0:09		"More!"	Audience
0:10		"Moi aussi je pensais que c'était de la poésie."	Audience
0:14		Acker speaking away from the microphone: "This is Thivai speaking and it's just like of course a female it's not a male woman (inaudible) female (inaudible) female (inaudible)."	Acker speaking
0:21		"You have a very nice ... you have a very nice diction."	Audience
0:22		In the microphone: "What?"	Acker speaking
0:24		"A what?"	Acker speaking
0:25		"well"	Audience
0:26		"Who?"	Acker speaking
0:26		"You have a nice diction!"	Audience
0:28		"A nice fiction?"	Acker speaking
0:29		"You read very well!"	Audience
0:29		"You read well!"	Audience
0:31		"Oh, thank you sir, yeah."	Acker speaking
0:32		Laughs and murmurs	Audience
0:34		"All right, this's called 'Male': M.A.L.E."	Acker speaking
0:37		"This is Thivai's talking."	Acker speaking
0:38		Reading from Empire of the Senseless, Chapter II. "Raise Us From the Dead," (Thivai speaks), Male.	Acker reading
0:40		As long as I can remember...	Acker reading
0:41		"And just to portrait Thivai so not worry about that now it's all environmental."	Acker speaking
0:45		As long as I can remember, I've wanted to be a pirate. As long as I can remember, I've wanted to sail the navy seas. As long as I can remember wanting, I've wanted to slaughter other humans and to watch the emerging of their blood.	Acker reading
0:54		Throbbing sound	Environment
1:01		Insofar as I know myself, I don't know either the origin or the cause of my wants.	Acker reading
1:06		Knocking sound	Environment
1:08		It was a dark night for pirates.	Acker reading
1:12		Winter had approached all of us on the ship. One night whose beginning was death, three pirates squatting on the deck just like fat cunts or pigs held a consultation which lingered, like death, without becoming anything else. For one human they had taken during their last battle remained bound and gagged near the bowsprit. Their discussion became more confused, then too confused, at least for the victim who could still hear; the pirates had become increasingly drunk. A fat slob waddled over to the victim who was a child and raped her again.	Acker reading
1:16		"Nah NAH"	Audience
1:20		Sound of a plastic cup or a ball bouncing on a table near the camera	Environment
1:25		Metallic sound of an object bouncing	Environment
1:59		She didn't struggle as the other two did the same.	Acker reading
2:00		Cough	Audience
2:01		‘Afterwards, I'd like to do it to you,’ the first pirate turned to the second pirate.	Acker reading
2:06		Metallic sound	Environment
2:07		‘No. I'm younger than you, so it's possible for me to have a child. I don't want one. Just cause it's safe for you...’	Acker reading
2:10		Soft knocking on a wooden table	Environment
2:14		‘Not if I do it in your asshole. In your asshole, you're safe.’	Acker reading
2:15		Short metallic sound	Environment
2:17		Laugh	Audience
2:18		‘Just stop what you're doing. Above all I don't wanna be pregnant!’	Acker reading
2:22		‘You don't believe me. You don't trust…’	Acker reading
2:23		Intermittent laugh	Audience
2:24		‘No.’ The second one explained: ‘Why should I trust you? You just tell me why I should trust you? You tell me why I should trust you who can't get pregnant not to make me pregnant.’	Acker reading
2:36		The third pirate came in his pants. A round stain showed.	Acker reading
2:39		Murmur and shuffling	Audience
2:41		‘Don't you believe I can fuck you and not make babies?’	Acker reading
2:45		Used to protecting his virginity like a girl, the youngest of the pirates capitulated. ‘If you let me alone I'll let you do it tonight. But you've gotta promise you won't tell anyone.’	Acker Reading
2:57		Fatty replied ‘I promise’ since he never meant anything by these words. ‘But you're gonna spread yourself for me now. Otherwise I want that thin trigger that thin cock you're showing me so much, I'll cut off your head to get at it.’ Among themselves, also, pirates’re very murderous. ‘But after I come, when you're dead, then you can do whatever you want.’	Acker reading
2:58		Hollow sound	Environment
3:05		Laugh	Audience
3:10		Laugh	Audience
3:17		Laugh	Audience
3:22		Fatty dove in, ground and pounded his cock up into the so tight it was almost impenetrable asshole. He pound and ground until the brat started wiggling; then thrust hard. Thrust fast. Living backbone. Jewel at top of hole. The asshole opened involuntarily. The kid screeched like nerves. After a while the kid felt Fatty become still. After a few more minutes he asked Fatty if he had come.	Acker reading
3:34		Laugh	Audience
3:57		‘Shut up. Shut. Up.’ As it dropped out the final bit of sperm enflamed the top of his cockhole.	Acker reading
