Time		Annotation	Layer
58:41		The following recitations occur midway through McClure’s reading with Allen Ginsberg on June 16, 1976 at the Naropa Institute’s summer session (the Jack Kerouac School of Disembodied Poetics). The plan was to offer attendees a Beat retrospective of sorts. In Ginsberg’s own words, “Michael and I decided that, for the evening, it would be interested to go back historically and read some of the same texts that we first read together the first time we read together…this evening we’re going to…alternate readings, beginning with a very brief presentation by myself and then a brief presentation by him, and then longer trading back-and-forth, five- and ten-minute sections, improvising the time as we go.” Ginsberg begins by reading a selection from “Howl” and McClure by reading “For the Death of 100 Whales,” both poems debuted in 1955 at the Six Gallery reading in San Francisco. In her introductory remarks, Anne Waldman shares a brief account of their friendship, beginning with their first “official meet[ing]” at a party for W.H. Auden in 1954 and extending to previous collaborations between McClure and Ginsberg, including readings together in 1965 during the Berkeley Vietnam peace protests and in the 1967 “Be-in” in San Francisco, “with Suzuki-Roshi [Shunryū Suzuki] on the stage,” as well as a host of other “Timothy Leary benefits” and “om orgies.” Waldman concludes that “this reading is a continuation of some kind of poetic-karmic link between these two poets.” It is also, implicitly, a continuation of illustrious Beat history.	Situated voice
58:42	58:53	I'm going to read a couple of poems in Beast Language which are actually from the early '60s and not the '50s, and then we're going to take a break-ten minutes or so.	McClure speaking
58:57	59:14	McClure reads the first three and a half lines of Geoffrey Chaucer's Canterbury Tales. It was a regular habit of McClure’s to recite these lines before public performances of Ghost Tantras. The gesture “suggest[s] the origins of his poetry in early English verse,” as Michael Davidson notes (86). On the day he shot the USA Poetry episode at the San Francisco Zoo, McClure also recited Chaucer to the tree kangaroos, for whom “beast language was not right” (Kahn 340). Several months after the reading at Naropa, on November 25, 1976, McClure recited from the opening of Chaucer’s prologue on stage at San Francisco’s Winterland Ballroom during The Band’s famous farewell concert, immortalized in Martin Scorsese’s The Last Waltz (1978).	Situated voice
58:58	59:07	Whan that Aprill with his shoures soote The droghte of March hath perced to the roote, And bathed every veyne in switch licour Of which vertu	McClure reading
59:07	59:15	That's Chaucer actually. It makes a nice introduction.	McClure speaking
59:19	1:00:29	McClure reads Ghost Tantra 51, page _____. As in many of his printed poems, McClure centers the Ghost Tantras down the page's middle, an aesthetic strategy Davidson regards as beastly in its own right: "McClure compares the physical shape of his poems to biological organismsÉ.Instead of returning to the left margin, the line asserts itself boldly as a free image, connected to the other lines like ribs to the spinal column" (86). In light of McClure's performance and the digital lyric archive more broadly, Davidson's observation that this meaningful shapeliness makes the line not "a score for the voice" but "a separate object among other objects" takes on curious significance. By what means can we account *both* for the line's printed objecthood *and* the sonorous objecthood captured and audible, in this instance, on digitized tape? Even more to the point, how can we account for the historically-specific performance of McClure's recitation--his expressive re-citation of a printed text on June 16, 1976, the dynamic relation between page and speech, his 'reading voice.' I have taken advantage of the fact that McClure's recitation precisely reflects the printed version to respect the poem's printed lineation in my transcriptions below. Ideally, the critical act of reading and listening simultaneously will evoke the tension at the heart of the reading voice.	Reading voice
59:20	59:23	I LOVE TO THINK OF THE RED PURPLE ROSE	McClure reading
59:24	59:26	IN THE DARKNESS COOLED BY THE NIGHT	McClure reading
59:27	59:31	We are served by machines making satins of sounds.	McClure reading
59:32	59:36	Each blot of sound is a bud or a stahr.	McClure reading
